 #############################
   Line: SYN_syn_data             
   Sampling rate: 2000 Hz    
   Recording length: 1.024 s 
   Number of geophones: 48   
   Geophone spacing: 2 m     
 #############################

     File number | Station
         1001    |   G001
         1002    |   G002
         1003    |   G003
         1004    |   G004
         1005    |   G005
         1006    |   G006
         1007    |   G007
         1008    |   G008
         1009    |   G009
         1010    |   G010
         1011    |   G011
         1012    |   G012
         1013    |   G013
         1014    |   G014
         1015    |   G015
         1016    |   G016
         1017    |   G017
         1019    |   G019
         1020    |   G020
         1021    |   G021
         1022    |   G022
         1023    |   G023
         1024    |   G024
         1025    |   G025
         1026    |   G026
         1027    |   G027
         1028    |   G028
         1029    |   G029
         1030    |   G030
         1031    |   G031
         1033    |   G033
         1034    |   G034
         1035    |   G035
         1036    |   G036
         1037    |   G037
         1038    |   G038
         1039    |   G039
         1040    |   G040
         1041    |   G041
         1042    |   G042
         1043    |   G043
         1044    |   G044
         1045    |   G045
         1046    |   G046
         1047    |   G047
         1048    |   G048
