# station,x (m), y (m), z (m)
1,0.0,0.0,0.0
2,2.0,0.0,0.0
3,4.0,0.0,0.0
4,6.0,0.0,0.0
5,8.0,0.0,0.0
6,10.0,0.0,0.0
7,12.0,0.0,0.0
8,14.0,0.0,0.0
9,16.0,0.0,0.0
10,18.0,0.0,0.0
11,20.0,0.0,0.0
12,22.0,0.0,0.0
13,24.0,0.0,0.0
14,26.0,0.0,0.0
15,28.0,0.0,0.0
16,30.0,0.0,0.0
17,32.0,0.0,0.0
18,34.0,0.0,0.0
19,36.0,0.0,0.0
20,38.0,0.0,0.0
21,40.0,0.0,0.0
22,42.0,0.0,0.0
23,44.0,0.0,0.0
24,46.0,0.0,0.0
25,48.0,0.0,0.0
26,50.0,0.0,0.0
27,52.0,0.0,0.0
28,54.0,0.0,0.0
29,56.0,0.0,0.0
30,58.0,0.0,0.0
31,60.0,0.0,0.0
32,62.0,0.0,0.0
33,64.0,0.0,0.0
34,66.0,0.0,0.0
35,68.0,0.0,0.0
36,70.0,0.0,0.0
37,72.0,0.0,0.0
38,74.0,0.0,0.0
39,76.0,0.0,0.0
40,78.0,0.0,0.0
41,80.0,0.0,0.0
42,82.0,0.0,0.0
43,84.0,0.0,0.0
44,86.0,0.0,0.0
45,88.0,0.0,0.0
46,90.0,0.0,0.0
47,92.0,0.0,0.0
48,94.0,0.0,0.0
